Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
BB1,Mining,2018Q3,341,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q4,332,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q1,350,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q2,351,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q3,355,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q4,357,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q1,339,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q2,274,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q3,308,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q4,303,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q1,307,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q2,304,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q3,295,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q4,331,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2022Q1,343,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2022Q2,342,Actual,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2022Q3,354,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q1,5151,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q2,5191,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q3,5395,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q4,5870,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q1,5725,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q2,5004,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q3,5157,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q4,5351,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q1,5185,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q2,4848,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q3,4927,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q4,4742,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q1,4897,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q2,4960,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q3,5104,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q4,5484,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q1,5009,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q2,4708,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q3,5100,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q4,5570,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q1,5630,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q2,4987,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q3,5348,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q4,5505,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q1,5158,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q2,4634,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q3,5518,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q4,5309,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q1,5459,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q2,5522,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q3,4578,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q4,4600,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q1,4915,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q2,4578,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q3,3979,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q1,2899,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q2,2797,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q3,3066,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q4,3473,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q1,3156,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q2,2822,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q3,2901,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q4,3126,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q1,2991,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q2,2690,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q3,2920,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q4,2869,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q1,2991,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q2,2614,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q3,2665,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q4,3101,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q1,2707,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q2,2526,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q3,2865,Actual,Kilotonnes,Carbon dioxide equivalents,P
